plant.id,species,microsite,blooming,date,year,percent.cover,richness,richness.perennials
241,buckhorn,shrub,pre,4.10.2017,2017,5,4,0
241,buckhorn,open,pre,4.10.2017,2017,5,3,0
235,buckhorn,shrub,pre,4.10.2017,2017,2,5,0
235,buckhorn,open,pre,4.10.2017,2017,2,4,0
234,buckhorn,shrub,pre,4.10.2017,2017,1,4,0
234,buckhorn,open,pre,4.10.2017,2017,5,4,0
217,buckhorn,shrub,pre,4.10.2017,2017,2,5,0
217,buckhorn,open,pre,4.10.2017,2017,10,3,0
203,buckhorn,shrub,pre,4.10.2017,2017,5,6,0
203,buckhorn,open,pre,4.10.2017,2017,10,5,0
204,buckhorn,shrub,pre,4.10.2017,2017,5,4,0
204,buckhorn,open,pre,4.10.2017,2017,2,4,0
249,buckhorn,shrub,pre,4.11.2017,2017,5,3,0
249,buckhorn,open,pre,4.11.2017,2017,1,3,0
238,buckhorn,shrub,pre,4.11.2017,2017,35,4,3
238,buckhorn,open,pre,4.11.2017,2017,2,4,0
214,buckhorn,shrub,pre,4.11.2017,2017,1,5,0
214,buckhorn,open,pre,4.11.2017,2017,1,5,0
215,buckhorn,shrub,pre,4.11.2017,2017,20,7,0
215,buckhorn,open,pre,4.11.2017,2017,2,4,0
202,buckhorn,shrub,pre,4.11.2017,2017,50,7,2
202,buckhorn,open,pre,4.11.2017,2017,1,4,0
201,buckhorn,shrub,pre,4.11.2017,2017,40,5,1
201,buckhorn,open,pre,4.11.2017,2017,5,5,0
259,buckhorn,open,pre,4.12.2017,2017,2,5,0
259,buckhorn,shrub,pre,4.12.2017,2017,10,4,0
245,buckhorn,open,pre,4.12.2017,2017,5,3,1
245,buckhorn,shrub,pre,4.12.2017,2017,25,3,0
242,buckhorn,open,pre,4.12.2017,2017,5,4,0
242,buckhorn,shrub,pre,4.12.2017,2017,30,6,0
236,buckhorn,open,pre,4.12.2017,2017,5,5,0
236,buckhorn,shrub,pre,4.12.2017,2017,5,6,0
231,buckhorn,open,pre,4.12.2017,2017,2,6,0
231,buckhorn,shrub,pre,4.12.2017,2017,2,5,0
207,buckhorn,open,pre,4.12.2017,2017,1,4,1
207,buckhorn,shrub,pre,4.12.2017,2017,15,8,0
237,buckhorn,open,pre,4.13.2017,2017,2,4,0
237,buckhorn,shrub,pre,4.13.2017,2017,15,4,2
227,buckhorn,open,pre,4.13.2017,2017,2,3,0
227,buckhorn,shrub,pre,4.13.2017,2017,50,6,1
220,buckhorn,open,pre,4.13.2017,2017,8,6,0
220,buckhorn,shrub,pre,4.13.2017,2017,10,6,0
223,buckhorn,open,pre,4.13.2017,2017,10,6,0
223,buckhorn,shrub,pre,4.13.2017,2017,5,5,0
222,buckhorn,open,pre,4.13.2017,2017,20,4,0
222,buckhorn,shrub,pre,4.13.2017,2017,15,5,0
211,buckhorn,open,pre,4.13.2017,2017,1,5,0
211,buckhorn,shrub,pre,4.13.2017,2017,20,6,1
276,buckhorn,open,pre,4.15.2017,2017,10,5,0
276,buckhorn,shrub,pre,4.15.2017,2017,25,7,0
269,buckhorn,open,pre,4.15.2017,2017,10,4,0
269,buckhorn,shrub,pre,4.15.2017,2017,55,4,0
262,buckhorn,open,pre,4.15.2017,2017,10,2,0
262,buckhorn,shrub,pre,4.15.2017,2017,35,4,0
186,buckhorn,open,pre,4.15.2017,2017,8,6,0
186,buckhorn,shrub,pre,4.15.2017,2017,20,5,0
199,buckhorn,open,pre,4.15.2017,2017,40,7,0
199,buckhorn,shrub,pre,4.15.2017,2017,55,4,0
300,buckhorn,open,pre,4.15.2017,2017,2,7,0
300,buckhorn,shrub,pre,4.15.2017,2017,25,5,0
258,buckhorn,open,pre,4.16.2017,2017,5,5,0
258,buckhorn,shrub,pre,4.16.2017,2017,45,5,1
246,buckhorn,open,pre,4.16.2017,2017,10,5,0
246,buckhorn,shrub,pre,4.16.2017,2017,40,4,0
232,buckhorn,open,pre,4.16.2017,2017,5,4,0
232,buckhorn,shrub,pre,4.16.2017,2017,15,4,1
225,buckhorn,open,pre,4.16.2017,2017,10,6,0
225,buckhorn,shrub,pre,4.16.2017,2017,20,4,0
221,buckhorn,open,pre,4.16.2017,2017,10,7,0
221,buckhorn,shrub,pre,4.16.2017,2017,15,3,0
219,buckhorn,open,pre,4.16.2017,2017,7,5,0
219,buckhorn,shrub,pre,4.16.2017,2017,20,5,0
205,buckhorn,open,pre,4.17.2017,2017,15,5,0
205,buckhorn,shrub,pre,4.17.2017,2017,15,7,0
209,buckhorn,open,pre,4.17.2017,2017,10,4,0
209,buckhorn,shrub,pre,4.17.2017,2017,15,5,0
240,buckhorn,open,pre,4.17.2017,2017,15,2,0
240,buckhorn,shrub,pre,4.17.2017,2017,60,4,1
243,buckhorn,open,pre,4.17.2017,2017,30,5,0
243,buckhorn,shrub,pre,4.17.2017,2017,10,5,0
255,buckhorn,open,pre,4.17.2017,2017,5,4,0
255,buckhorn,shrub,pre,4.17.2017,2017,50,3,2
256,buckhorn,open,pre,4.17.2017,2017,2,5,0
256,buckhorn,shrub,pre,4.17.2017,2017,10,4,0
218,buckhorn,open,pre,4.19.2017,2017,10,5,0
218,buckhorn,shrub,pre,4.19.2017,2017,15,8,0
216,buckhorn,open,pre,4.19.2017,2017,5,4,0
216,buckhorn,shrub,pre,4.19.2017,2017,40,6,3
226,buckhorn,open,pre,4.19.2017,2017,2,4,0
226,buckhorn,shrub,pre,4.19.2017,2017,15,6,0
252,buckhorn,open,pre,4.19.2017,2017,5,2,0
252,buckhorn,shrub,pre,4.19.2017,2017,10,6,0
254,buckhorn,open,pre,4.19.2017,2017,2,4,0
254,buckhorn,shrub,pre,4.19.2017,2017,20,6,0
257,buckhorn,open,pre,4.19.2017,2017,5,5,1
257,buckhorn,shrub,pre,4.19.2017,2017,25,7,0
260,buckhorn,open,pre,4.20.2017,2017,10,6,0
260,buckhorn,shrub,pre,4.20.2017,2017,15,7,0
250,buckhorn,open,pre,4.20.2017,2017,5,4,0
250,buckhorn,shrub,pre,4.20.2017,2017,15,5,0
247,buckhorn,open,pre,4.20.2017,2017,10,5,0
247,buckhorn,shrub,pre,4.20.2017,2017,20,5,1
229,buckhorn,open,pre,4.20.2017,2017,15,5,0
229,buckhorn,shrub,pre,4.20.2017,2017,5,6,0
228,buckhorn,open,pre,4.20.2017,2017,10,6,0
228,buckhorn,shrub,pre,4.20.2017,2017,30,6,0
212,buckhorn,open,pre,4.20.2017,2017,10,6,0
212,buckhorn,shrub,pre,4.20.2017,2017,15,6,0
206,buckhorn,shrub,pre,4.22.1017,2017,4,6,0
206,buckhorn,open,pre,4.22.1017,2017,2,4,0
210,buckhorn,shrub,pre,4.22.1017,2017,8,4,0
210,buckhorn,open,pre,4.22.1017,2017,1,2,0
224,buckhorn,shrub,pre,4.22.1017,2017,40,3,0
224,buckhorn,open,pre,4.22.1017,2017,2,3,0
233,buckhorn,shrub,pre,4.22.1017,2017,50,5,0
233,buckhorn,open,pre,4.22.1017,2017,1,2,0
240,buckhorn,shrub,pre,4.22.1017,2017,10,3,0
240,buckhorn,open,pre,4.22.1017,2017,10,3,0
251,buckhorn,shrub,pre,4.22.1017,2017,10,3,0
251,buckhorn,open,pre,4.22.1017,2017,1,2,0
1,buckhorn,shrub,post,5.7.2017,2017,2,4,0
1,buckhorn,open,post,5.7.2017,2017,4,1,0
2,buckhorn,shrub,post,5.7.2017,2017,40,2,0
2,buckhorn,open,post,5.7.2017,2017,2,2,0
3,buckhorn,shrub,post,5.7.2017,2017,3,2,0
3,buckhorn,open,post,5.7.2017,2017,5,3,0
4,buckhorn,shrub,post,5.7.2017,2017,1,2,0
4,buckhorn,open,post,5.7.2017,2017,1,3,0
5,buckhorn,shrub,post,5.7.2017,2017,2,2,0
5,buckhorn,open,post,5.7.2017,2017,1,2,0
6,buckhorn,shrub,post,5.7.2017,2017,2,2,0
6,buckhorn,open,post,5.7.2017,2017,0,0,0
