year,region,site,rep,microsite,D1,D2,H,S.barbatus,B.rubens,E.cicutarium,B.hordeaceus,P.secunda,D.kelloggii,P.ovata,C.barbigera,L.gracilis,C.exserta,A.wrangelianus,D.capitatum,Pectocarya spp.,E.penduliflora,A.tessellata,A.adscensionis,C.fremontii,E.minutiflora,P.membranaceum,L.lasiocarpa,M.glabrata,R.neomexicana,E.eremicum,C.rigida,P.crenulata,E.wallacei,C.brevipes,C.claviformis,Erinoginum spp.,M.bellioides,E.exilis,C.lasiophyllus,L.setosissima,A.tuberosa,B.nigria,N.demissum,A.lentiginosus,A.grandiflora,H.vulgare,C.intermedia
2017,Mojave,2.1,1,open,,,,,,,,,,15,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,2,open,,,,2,,,,,,12,,,,,,7,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,3,open,,,,,,,,,,15,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,4,open,,,,3,,,,,,5,1,,,,,11,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
2017,Mojave,2.1,5,open,,,,3,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,6,open,,,,5,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,7,open,,,,12,,,,,,5,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,8,open,,,,,,,,,,17,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,9,open,,,,5,,,,,,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,10,open,,,,5,,,,,,9,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,11,open,,,,11,,,,,,8,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,12,open,,,,5,,,,,,12,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,13,open,,,,4,,,,,,8,2,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,14,open,,,,9,,,,,,13,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,15,open,,,,7,,,,,,12,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,16,open,,,,3,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,17,open,,,,3,,,,,,19,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,18,open,,,,3,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,19,open,,,,4,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,20,open,,,,4,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,21,open,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,22,open,,,,3,,,,,,15,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,23,open,,,,6,,,,,,10,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,24,open,,,,5,,,,,,6,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,25,open,,,,1,,,,,,11,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,26,open,,,,4,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,27,open,,,,5,,,,,,11,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,28,open,,,,,,,,,,7,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,29,open,,,,5,,,,,,16,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,30,open,,,,,,,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,1,open,,,,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,2,open,,,,9,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,3,open,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,4,open,,,,,,,,,,2,5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,5,open,,,,7,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,6,open,,,,8,,,,,,3,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,7,open,,,,11,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,8,open,,,,21,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,9,open,,,,22,,,,,,3,3,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,10,open,,,,3,,,,,,5,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,11,open,,,,3,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2017,Mojave,2.2,12,open,,,,6,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2017,Mojave,2.2,13,open,,,,2,,,,,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,14,open,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,15,open,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2017,Mojave,2.2,16,open,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
2017,Mojave,2.2,17,open,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,18,open,,,,10,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2017,Mojave,2.2,19,open,,,,14,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,20,open,,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,21,open,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,22,open,,,,,,,,,,4,2,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,23,open,,,,6,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,24,open,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2017,Mojave,2.2,25,open,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,26,open,,,,15,,,,,,9,,,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,27,open,,,,3,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2017,Mojave,2.2,28,open,,,,3,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,29,open,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2017,Mojave,2.2,30,open,,,,8,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.3,1,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.3,2,open,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.3,3,open,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.3,4,open,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.3,5,open,,,,2,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,6
2017,Mojave,2.3,6,open,,,,8,,,,,,2,3,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.3,7,open,,,,8,,,,,,,13,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.3,8,open,,,,7,,,,,,2,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.3,9,open,,,,,,,,,,,2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,8
2017,Mojave,2.3,10,open,,,,,,,,,,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2
2017,Mojave,2.3,11,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
