plot_number,lat,long,x_m,y_m,year
1,35.25608333,-116.0472333,0.25,0.25,2017
2,35.25608333,-116.0472333,0.25,0.25,2017
3,35.25608333,-116.0472333,0.25,0.25,2017
4,35.25608333,-116.0472333,0.25,0.25,2017
5,35.25608333,-116.0472333,0.25,0.25,2017
6,35.25608333,-116.0472333,0.25,0.25,2017
7,35.25608333,-116.0472333,0.25,0.25,2017
8,35.25608333,-116.0472333,0.25,0.25,2017
9,35.25608333,-116.0472333,0.25,0.25,2017
10,35.25608333,-116.0472333,0.25,0.25,2017
11,35.25608333,-116.0472333,0.25,0.25,2017
12,35.25608333,-116.0472333,0.25,0.25,2017
13,35.25608333,-116.0472333,0.25,0.25,2017
14,35.25608333,-116.0472333,0.25,0.25,2017
15,35.25608333,-116.0472333,0.25,0.25,2017
16,35.25608333,-116.0472333,0.25,0.25,2017
17,35.25608333,-116.0472333,0.25,0.25,2017
18,35.25608333,-116.0472333,0.25,0.25,2017
19,35.25608333,-116.0472333,0.25,0.25,2017
20,35.25608333,-116.0472333,0.25,0.25,2017
21,35.25608333,-116.0472333,0.25,0.25,2017
22,35.25608333,-116.0472333,0.25,0.25,2017
23,35.25608333,-116.0472333,0.25,0.25,2017
24,35.25608333,-116.0472333,0.25,0.25,2017
25,35.25608333,-116.0472333,0.25,0.25,2017
26,35.25608333,-116.0472333,0.25,0.25,2017
27,35.25608333,-116.0472333,0.25,0.25,2017
28,35.25608333,-116.0472333,0.25,0.25,2017
29,35.25608333,-116.0472333,0.25,0.25,2017
30,35.25608333,-116.0472333,0.25,0.25,2017
31,35.2502,-115.9224333,0.25,0.25,2017
32,35.2502,-115.9224333,0.25,0.25,2017
33,35.2502,-115.9224333,0.25,0.25,2017
34,35.2502,-115.9224333,0.25,0.25,2017
35,35.2502,-115.9224333,0.25,0.25,2017
36,35.2502,-115.9224333,0.25,0.25,2017
37,35.2502,-115.9224333,0.25,0.25,2017
38,35.2502,-115.9224333,0.25,0.25,2017
39,35.2502,-115.9224333,0.25,0.25,2017
40,35.2502,-115.9224333,0.25,0.25,2017
41,35.2502,-115.9224333,0.25,0.25,2017
42,35.2502,-115.9224333,0.25,0.25,2017
