species
Schismus barbatus
Bromus rubens
Erodium cicutarium
Bromus hordeaceus
Poa secunda
Deinandra kelloggii
Plantago ovata
Cryptantha barbigera
Lasthenia gracilis
Castilleja exserta
Acmispon wrangelianus
Dichelostemma capitatum
Pectocarya setosa
Emmenanthe penduliflora
Amsinckia tesselata
Aristida adscensionis
Chaenactis fremontii
Eschscholzia minutiflora
Pholistoma membranaceum
Carex lasiocarpa
Malacothrix glabrata
Rafinesquia neomexicana
Eriastrum eremicum
Chorizanthe rigida
Phacelia crenulata
Eriophyllum wallacei
Camissonia brevipes
Camissonia claviformis
Eriogonum fasciculatum
Monoptilon bellioides
Eremalche exilis
Caulanthus lasiophyllus
Langloisia setosissima
Asclepias tuberosa
Brassica nigra
Nama demissum
Astragalus lentiginosus
Agoseris grandiflora
Hordeum vulgare
Cryptantha intermedia
